root degree							
	# iterations	1000	10000	100000	500000	1000000	10000000
	# iterations / mean effective sample size	333	666	1563	1838	2146	2374
	shrink factor estimate	21	18	1.06	1.03	1.01	1
	shrink factor upper confidence limit	131	105	1.17	1.07	1.03	1
	mean of effective sample size	3	15	64	272	466	4212
	standard deviation of effective sample size	4	28	45	176	295	2642
							
number of leaves							
	# iterations	1000	10000	100000	500000	1000000	10000000
	# iterations / mean effective sample size	500	2500	3125	3546	3759	4943
	shrink factor estimate	19.2	31.8	1.14	1.04	1.01	1
	shrink factor upper confidence limit	59.5	70.6	1.38	1.1	1.04	1
	mean of effective sample size	2	4	32	141	266	2023
	standard deviation of effective sample size	0	3	30	123	211	1049
							
height							
	# iterations	1000	10000	100000	500000	1000000	10000000
	# iterations / mean effective sample size	500	2500	10000	12500	12658	9861
	shrink factor estimate	67.3	19.3	1.2	1.03	1.02	1
	shrink factor upper confidence limit	319	56.9	1.52	1.07	1.04	1.01
	mean of effective sample size	2	4	10	40	79	1014
	standard deviation of effective sample size	1	3	9	17	20	58
